hit_id,hit_index,t0_s,t1_s,fn_hz,zeta,snr_db,env_fit_r2,env_log_c,env_log_m,reject_reason,fit_t0_s,fit_t1_s
1,113924,2.5433106575963715,3.543310657596372,796.728515625,0.000737588082318418,26.802709739484733,0.9745189990747709,-2.373140282646848,-3.692360705560573,,2.7433106575963717,3.1341043083900226
2,412812,9.320816326530611,10.320816326530611,796.728515625,0.0007314731514954561,26.423467307088696,0.9670699641101327,-2.3668146249590682,-3.6617494052573525,,9.520816326530612,9.89358276643991
3,675443,15.276167800453514,16.276167800453514,796.728515625,0.0007173264699373141,25.656824344085294,0.9881919589109724,-2.0428236211402013,-3.590931217773661,,15.476167800453515,15.860408163265305
4,958284,21.68979591836735,22.68979591836735,796.728515625,0.0007280168585375763,24.996026012045853,0.9516289665935169,-2.5495181852252897,-3.6444472272388744,,21.889795918367348,22.226485260770975
5,1230831,27.87,28.87,796.728515625,0.0007448134976154618,25.56124042262503,0.9851186118105677,-1.9632265727228528,-3.728531083260146,,28.07,28.436326530612245
6,1484645,33.625419501133784,34.625419501133784,796.728515625,0.0007855668062580537,27.219867118690274,0.9914471747182616,-2.228566758500606,-3.93254185710631,,33.82541950113379,34.22816326530612
7,1716703,38.88750566893424,39.88750566893424,796.728515625,0.0007417855289360251,28.909880760717847,0.989794955391571,-1.9483965782646224,-3.713373093539816,,39.08750566893424,39.54419501133787
8,1993449,45.16292517006803,46.16292517006803,796.728515625,0.0007750853212653475,28.3420296044644,0.9927934227215661,-1.7038379960863113,-3.880071617617972,,45.36292517006803,45.79551020408164
9,2287945,51.84083900226757,52.84083900226757,796.728515625,0.000756548862853317,28.7437277866014,0.9852466455266697,-2.289410899811483,-3.787278238357145,,52.040839002267575,52.49750566893424
10,2569858,58.23342403628118,59.23342403628118,796.728515625,0.0008073052119151879,30.448243867158528,0.992783978302594,-1.6358294158316178,-4.041364161552502,,58.43342403628118,58.908367346938775
